, where, what, value
0, driver, kernel_time, 0.000005483000
1, driver, total_time, 0.000009612000
2, GPU1.CommandProcessor, kernel_time, 0.000004894000
3, GPU1.SA_00.CU_00, cu_inst_count, 26.000000000000
4, GPU1.SA_00.CU_00, cu_CPI, 210.884615384615
5, GPU1.SA_00.CU_00, simd_inst_count, 13.000000000000
6, GPU1.SA_00.CU_00, simd_CPI, 421.769230769231
7, GPU1.SA_00.CU_00, v_mul_count, 1.000000000000
8, GPU1.SA_00.CU_01, cu_inst_count, 0.000000000000
9, GPU1.SA_00.CU_01, cu_CPI, +Inf
10, GPU1.SA_00.CU_01, simd_inst_count, 0.000000000000
11, GPU1.SA_00.CU_01, simd_CPI, +Inf
12, GPU1.SA_00.CU_01, v_mul_count, 0.000000000000
13, GPU1.SA_00.CU_02, cu_inst_count, 0.000000000000
14, GPU1.SA_00.CU_02, cu_CPI, +Inf
15, GPU1.SA_00.CU_02, simd_inst_count, 0.000000000000
16, GPU1.SA_00.CU_02, simd_CPI, +Inf
17, GPU1.SA_00.CU_02, v_mul_count, 0.000000000000
18, GPU1.SA_00.CU_03, cu_inst_count, 0.000000000000
19, GPU1.SA_00.CU_03, cu_CPI, +Inf
20, GPU1.SA_00.CU_03, simd_inst_count, 0.000000000000
21, GPU1.SA_00.CU_03, simd_CPI, +Inf
22, GPU1.SA_00.CU_03, v_mul_count, 0.000000000000
23, GPU1.SA_01.CU_00, cu_inst_count, 0.000000000000
24, GPU1.SA_01.CU_00, cu_CPI, +Inf
25, GPU1.SA_01.CU_00, simd_inst_count, 0.000000000000
26, GPU1.SA_01.CU_00, simd_CPI, +Inf
27, GPU1.SA_01.CU_00, v_mul_count, 0.000000000000
28, GPU1.SA_01.CU_01, cu_inst_count, 0.000000000000
29, GPU1.SA_01.CU_01, cu_CPI, +Inf
30, GPU1.SA_01.CU_01, simd_inst_count, 0.000000000000
31, GPU1.SA_01.CU_01, simd_CPI, +Inf
32, GPU1.SA_01.CU_01, v_mul_count, 0.000000000000
33, GPU1.SA_01.CU_02, cu_inst_count, 0.000000000000
34, GPU1.SA_01.CU_02, cu_CPI, +Inf
35, GPU1.SA_01.CU_02, simd_inst_count, 0.000000000000
36, GPU1.SA_01.CU_02, simd_CPI, +Inf
37, GPU1.SA_01.CU_02, v_mul_count, 0.000000000000
38, GPU1.SA_01.CU_03, cu_inst_count, 0.000000000000
39, GPU1.SA_01.CU_03, cu_CPI, +Inf
40, GPU1.SA_01.CU_03, simd_inst_count, 0.000000000000
41, GPU1.SA_01.CU_03, simd_CPI, +Inf
42, GPU1.SA_01.CU_03, v_mul_count, 0.000000000000
43, GPU1.SA_02.CU_00, cu_inst_count, 0.000000000000
44, GPU1.SA_02.CU_00, cu_CPI, +Inf
45, GPU1.SA_02.CU_00, simd_inst_count, 0.000000000000
46, GPU1.SA_02.CU_00, simd_CPI, +Inf
47, GPU1.SA_02.CU_00, v_mul_count, 0.000000000000
48, GPU1.SA_02.CU_01, cu_inst_count, 0.000000000000
49, GPU1.SA_02.CU_01, cu_CPI, +Inf
50, GPU1.SA_02.CU_01, simd_inst_count, 0.000000000000
51, GPU1.SA_02.CU_01, simd_CPI, +Inf
52, GPU1.SA_02.CU_01, v_mul_count, 0.000000000000
53, GPU1.SA_02.CU_02, cu_inst_count, 0.000000000000
54, GPU1.SA_02.CU_02, cu_CPI, +Inf
55, GPU1.SA_02.CU_02, simd_inst_count, 0.000000000000
56, GPU1.SA_02.CU_02, simd_CPI, +Inf
57, GPU1.SA_02.CU_02, v_mul_count, 0.000000000000
58, GPU1.SA_02.CU_03, cu_inst_count, 0.000000000000
59, GPU1.SA_02.CU_03, cu_CPI, +Inf
60, GPU1.SA_02.CU_03, simd_inst_count, 0.000000000000
61, GPU1.SA_02.CU_03, simd_CPI, +Inf
62, GPU1.SA_02.CU_03, v_mul_count, 0.000000000000
63, GPU1.SA_03.CU_00, cu_inst_count, 0.000000000000
64, GPU1.SA_03.CU_00, cu_CPI, +Inf
65, GPU1.SA_03.CU_00, simd_inst_count, 0.000000000000
66, GPU1.SA_03.CU_00, simd_CPI, +Inf
67, GPU1.SA_03.CU_00, v_mul_count, 0.000000000000
68, GPU1.SA_03.CU_01, cu_inst_count, 0.000000000000
69, GPU1.SA_03.CU_01, cu_CPI, +Inf
70, GPU1.SA_03.CU_01, simd_inst_count, 0.000000000000
71, GPU1.SA_03.CU_01, simd_CPI, +Inf
72, GPU1.SA_03.CU_01, v_mul_count, 0.000000000000
73, GPU1.SA_03.CU_02, cu_inst_count, 0.000000000000
74, GPU1.SA_03.CU_02, cu_CPI, +Inf
75, GPU1.SA_03.CU_02, simd_inst_count, 0.000000000000
76, GPU1.SA_03.CU_02, simd_CPI, +Inf
77, GPU1.SA_03.CU_02, v_mul_count, 0.000000000000
78, GPU1.SA_03.CU_03, cu_inst_count, 0.000000000000
79, GPU1.SA_03.CU_03, cu_CPI, +Inf
80, GPU1.SA_03.CU_03, simd_inst_count, 0.000000000000
81, GPU1.SA_03.CU_03, simd_CPI, +Inf
82, GPU1.SA_03.CU_03, v_mul_count, 0.000000000000
83, GPU1.SA_04.CU_00, cu_inst_count, 0.000000000000
84, GPU1.SA_04.CU_00, cu_CPI, +Inf
85, GPU1.SA_04.CU_00, simd_inst_count, 0.000000000000
86, GPU1.SA_04.CU_00, simd_CPI, +Inf
87, GPU1.SA_04.CU_00, v_mul_count, 0.000000000000
88, GPU1.SA_04.CU_01, cu_inst_count, 0.000000000000
89, GPU1.SA_04.CU_01, cu_CPI, +Inf
90, GPU1.SA_04.CU_01, simd_inst_count, 0.000000000000
91, GPU1.SA_04.CU_01, simd_CPI, +Inf
92, GPU1.SA_04.CU_01, v_mul_count, 0.000000000000
93, GPU1.SA_04.CU_02, cu_inst_count, 0.000000000000
94, GPU1.SA_04.CU_02, cu_CPI, +Inf
95, GPU1.SA_04.CU_02, simd_inst_count, 0.000000000000
96, GPU1.SA_04.CU_02, simd_CPI, +Inf
97, GPU1.SA_04.CU_02, v_mul_count, 0.000000000000
98, GPU1.SA_04.CU_03, cu_inst_count, 0.000000000000
99, GPU1.SA_04.CU_03, cu_CPI, +Inf
100, GPU1.SA_04.CU_03, simd_inst_count, 0.000000000000
101, GPU1.SA_04.CU_03, simd_CPI, +Inf
102, GPU1.SA_04.CU_03, v_mul_count, 0.000000000000
103, GPU1.SA_05.CU_00, cu_inst_count, 0.000000000000
104, GPU1.SA_05.CU_00, cu_CPI, +Inf
105, GPU1.SA_05.CU_00, simd_inst_count, 0.000000000000
106, GPU1.SA_05.CU_00, simd_CPI, +Inf
107, GPU1.SA_05.CU_00, v_mul_count, 0.000000000000
108, GPU1.SA_05.CU_01, cu_inst_count, 0.000000000000
109, GPU1.SA_05.CU_01, cu_CPI, +Inf
110, GPU1.SA_05.CU_01, simd_inst_count, 0.000000000000
111, GPU1.SA_05.CU_01, simd_CPI, +Inf
112, GPU1.SA_05.CU_01, v_mul_count, 0.000000000000
113, GPU1.SA_05.CU_02, cu_inst_count, 0.000000000000
114, GPU1.SA_05.CU_02, cu_CPI, +Inf
115, GPU1.SA_05.CU_02, simd_inst_count, 0.000000000000
116, GPU1.SA_05.CU_02, simd_CPI, +Inf
117, GPU1.SA_05.CU_02, v_mul_count, 0.000000000000
118, GPU1.SA_05.CU_03, cu_inst_count, 0.000000000000
119, GPU1.SA_05.CU_03, cu_CPI, +Inf
120, GPU1.SA_05.CU_03, simd_inst_count, 0.000000000000
121, GPU1.SA_05.CU_03, simd_CPI, +Inf
